"행정구역","2024년04월_남_총인구수","2024년04월_남_연령구간인구수","2024년04월_남_0~9세","2024년04월_남_10~19세","2024년04월_남_20~29세","2024년04월_남_30~39세","2024년04월_남_40~49세","2024년04월_남_50~59세","2024년04월_남_60~69세","2024년04월_남_70~79세","2024년04월_남_80~89세","2024년04월_남_90~99세","2024년04월_남_100세 이상","2024년04월_여_총인구수","2024년04월_여_연령구간인구수","2024년04월_여_0~9세","2024년04월_여_10~19세","2024년04월_여_20~29세","2024년04월_여_30~39세","2024년04월_여_40~49세","2024년04월_여_50~59세","2024년04월_여_60~69세","2024년04월_여_70~79세","2024년04월_여_80~89세","2024년04월_여_90~99세","2024년04월_여_100세 이상"
"서울특별시  (1100000000)","4,532,115","4,532,115","257,434","373,543","636,314","714,841","696,275","735,836","626,231","338,168","140,478","12,647","348","4,846,154","4,846,154","244,649","357,633","709,084","714,198","710,914","761,215","697,000","409,623","206,245","34,438","1,155"
"서울특별시 종로구 (1111000000)","67,138","67,138","2,901","4,730","10,147","9,675","9,183","11,682","10,502","5,294","2,679","334","11","72,294","72,294","2,816","4,996","11,411","9,758","9,765","12,033","10,450","6,315","4,029","691","30"
"서울특별시 종로구 청운효자동(1111051500)","5,117","5,117","294","540","667","673","805","860","658","368","222","28","2","6,123","6,123","269","529","701","825","1,043","1,048","776","544","323","61","4"
"서울특별시 종로구 사직동(1111053000)","3,945","3,945","225","260","424","626","604","675","586","294","207","41","3","5,038","5,038","225","378","613","805","800","781","675","407","298","53","3"
"서울특별시 종로구 삼청동(1111054000)","1,055","1,055","37","92","117","131","152","158","176","118","61","12","1","1,169","1,169","44","68","118","155","155","181","203","136","90","18","1"
"서울특별시 종로구 부암동(1111055000)","4,270","4,270","191","442","530","557","626","732","634","350","188","20","0","4,795","4,795","191","362","527","599","762","879","743","405","259","64","4"
"서울특별시 종로구 평창동(1111056000)","8,005","8,005","525","716","967","978","1,106","1,357","1,333","648","324","49","2","9,274","9,274","444","808","997","1,068","1,358","1,733","1,500","767","471","120","8"
"서울특별시 종로구 무악동(1111057000)","3,652","3,652","233","393","391","379","604","718","515","264","139","16","0","4,312","4,312","288","545","428","437","691","721","592","338","238","30","4"
"서울특별시 종로구 교남동(1111058000)","4,447","4,447","360","367","515","641","790","788","539","280","155","12","0","5,252","5,252","370","408","606","769","905","846","658","427","231","32","0"
"서울특별시 종로구 가회동(1111060000)","1,793","1,793","91","155","189","250","284","324","253","156","81","10","0","2,038","2,038","60","144","217","274","316","359","296","205","141","26","0"
