         구분               위치(구역명) 운동기구기종명  운동기구수량                               관리번호        관리기관
   남산공원(회현)                  용암천      평행봉       1                    남삼회현-6(용암천)-11   중부공원녹지사업소 
   남산공원(회현)              기억의 터 위      평행봉       1                   남삼회현-7(기억의터)-10   중부공원녹지사업소 
   남산공원(팔각)             독립군상 체육회      평행봉       1                    남산팔각-1(독립군상)-6   중부공원녹지사업소 
   남산공원(팔각)              감로천 체육회      평행봉       1                    남산팔각-2(감로천)-10   중부공원녹지사업소 
   남산공원(팔각)              감로천 체육회      평행봉       1                    남산팔각-2(감로천)-11   중부공원녹지사업소 
   남산공원(팔각)                남산산악회      평행봉       1                   남산팔각-3(남산산악회)-1   중부공원녹지사업소 
   남산공원(팔각)                남산산악회      평행봉       1                   남산팔각-3(남산산악회)-2   중부공원녹지사업소 
   남산공원(팔각)                남산체육회      평행봉       1                   남산팔각-4(남산체육회)-2   중부공원녹지사업소 
   남산공원(한남)                과수원서측      평행봉       1                  남산한남-2(과수원서측)-11   중부공원녹지사업소 
       낙산공원             동대문지장암 위      평행봉       1                낙산공원-9(동대문지장암 위)-1   중부공원녹지사업소 
       용산공원             밤나무 체육시설      평행봉       1                     용산공원-2(밤나무)-6   중부공원녹지사업소 
      간데메공원                음수대 앞      평행봉       1                   간데메공원-6(음수대앞)-1   중부공원녹지사업소 
     북서울꿈의숲         3번입구 이동실화장실위      평행봉       1          북서울꿈의숲-1(3번입구 이동실화장실위)-1   중부공원녹지사업소 
     북서울꿈의숲           한벗베드민턴장 주변      평행봉       1            북서울꿈의숲-2(한벗베드민턴장 주변)-7   중부공원녹지사업소 
     북서울꿈의숲            무궁화 배드민턴장      평행봉       1             북서울꿈의숲-3(무궁화 배드민턴장)-4   중부공원녹지사업소 
     북서울꿈의숲  생태육교 위-13번출구 입구 가는길      평행봉       1  북서울꿈의숲-14(생태육교 위-13번출구 입구 가는길)-6   중부공원녹지사업소 
     북서울꿈의숲           청송배드민턴장 주변      평행봉       1           북서울꿈의숲-15(청송배드민턴장 주변)-4   중부공원녹지사업소 
      보라매공원                   와우산     평행봉       2                    보라매공원-2(와우산)-2   동부공원녹지사업소 
      보라매공원                 다목적구장     평행봉       3                  보라매공원-3(다목적구장)-7   동부공원녹지사업소 
      보라매공원               신길변전소 뒤     평행봉       2                보라매공원-5(신길변전소 뒤)-2   동부공원녹지사업소 
      보라매공원              청소년수련관 뒤     평행봉       2               보라매공원-8(청소년수련관 뒤)-3   동부공원녹지사업소 
       응봉공원                관리동앞3      평행봉       1                    응봉공원3(관리동앞) 23   동부공원녹지사업소 
       응봉공원               남측농구장옆      평행봉       1                     응봉공원4(농구장옆)29   동부공원녹지사업소 
       율현공원              수변프라자입구      평행봉       1           율현공원(하늘공원)-3(수변프라자입구)-5   동부공원녹지사업소 
    서서울호수공원               다목적운동장      평행봉       1              서서울호수공원-3(다목적운동장)-10   서부공원녹지사업소 
    서서울호수공원               다목적운동장      평행봉       1              서서울호수공원-3(다목적운동장)-11   서부공원녹지사업소 
    서서울호수공원               다목적운동장      평행봉       1              서서울호수공원-3(다목적운동장)-12   서부공원녹지사업소 
    서서울호수공원               다목적운동장      평행봉       1              서서울호수공원-3(다목적운동장)-13   서부공원녹지사업소 
한강공원(광나루지구)                놀이터주변      평행봉       1                    광나루-1(놀이터주변)-6      한강사업본부 
한강공원(광나루지구)             광진교주변잔디밭      평행봉       1                광나루-2(광진교주변 잔디밭)-1      한강사업본부 
한강공원(광나루지구)             광진교주변잔디밭      평행봉       1                광나루-2(광진교주변 잔디밭)-2      한강사업본부 
한강공원(광나루지구)             광진교주변잔디밭      평행봉       1                광나루-2(광진교주변 잔디밭)-3      한강사업본부 
