일시,발전수요량,기온(°C),강수량(mm),풍속(m/s),풍향(16방위),습도(%),증기압(hPa),이슬점온도(°C),현지기압(hPa),해면기압(hPa),일조(hr),일사(MJ/m2),적설(cm),3시간신적설(cm),전운량(10분위),중하층운량(10분위),최저운고(100m ),시정(10m),지면온도(°C),5cm 지중온도(°C),10cm 지중온도(°C),20cm 지중온도(°C),30cm 지중온도(°C),day_of_week,holiday,month,hour,temp_int,demand_mean,temp_gap,temp_surface_gap,over_surface_gap_base,shifted_insolation,gaps_temp_surface,scaled_demand,scaled_temp,scaled_temp_surface,scaled_insolation,scaled_temp_gap,scaled_temp_surface_gap,scaled_temp_surface_overgap,scaled_shifted_insolation,scaled_demand_wo_temp_gap,scaled_demand_wo_temp_n_surface_gap,scaled_demand_wo_temp_gap_n_insolation,sacled_demand_surface_over_gap_base,working_hour
2023-01-01 00:00:00,792614.0,5.5,0.0,2.8,230.0,64.0,5.8,-0.7,1030.0,1032.6,0.0,0.0,0.0,0.0,4,4,0.0,3320.0,3.7,7.8,7.8,8.3,7.4,6,1,1,0,5,813042.841954023,13.5,1.2999999999999998,0.0,,13.5,0.4592046736107706,0.2144638403990025,0.05074626865671642,0.0,0.6108597285067873,0.020866773675762437,0.0,,-13.04079532638923,-12.832127589631606,-0.15165505489601666,0.4592046736107706,False
2023-01-01 01:00:00,831297.0,5.4,0.0,2.5,230.0,65.0,5.8,-0.6,1029.7,1032.3,0.0,0.0,0.0,0.0,3,2,4.0,3176.0,3.3,7.5,7.6,8.2,7.4,6,1,1,1,5,813042.841954023,13.6,1.7000000000000002,0.0,,13.6,0.51339810449779,0.21197007481296756,0.04477611940298507,0.0,0.6153846153846153,0.027287319422150888,0.0,,-13.08660189550221,-12.8137287012807,-0.10198651088682531,0.51339810449779,False
2023-01-01 02:00:00,791669.0,5.3,0.0,3.0,230.0,64.0,5.7,-0.9,1029.5,1032.1,0.0,0.0,0.0,0.0,5,0,0.0,2926.0,3.0,7.3,7.4,8.1,7.4,6,1,1,2,5,813042.841954023,13.7,2.0,0.0,,13.7,0.45788076408492634,0.20947630922693267,0.04029850746268657,0.0,0.6199095022624433,0.03210272873194222,0.0,,-13.242119235915073,-12.92109194859565,-0.162028738177517,0.45788076408492634,False
2023-01-01 03:00:00,764382.0,5.4,0.0,2.7,230.0,65.0,5.8,-0.6,1029.1,1031.7,0.0,0.0,0.0,0.0,4,4,12.0,2806.0,2.9,7.1,7.3,8.0,7.4,6,1,1,3,5,813042.841954023,13.6,2.1,0.0,0.0,13.6,0.4196527014058658,0.21197007481296756,0.03880597014925373,0.0,0.6153846153846153,0.03370786516853933,0.0,0.0,-13.180347298594134,-12.84326864690874,-0.1957319139787495,0.4196527014058658,False
2023-01-01 04:00:00,747951.0,5.9,0.0,2.2,230.0,65.0,6.1,-0.1,1028.7,1031.3,0.0,0.0,0.0,0.0,4,4,11.0,2332.0,3.2,6.9,7.1,7.9,7.4,6,1,1,4,5,813042.841954023,13.1,1.7999999999999998,0.0,0.0,13.1,0.39663348720571034,0.22443890274314213,0.04328358208955224,0.0,0.592760180995475,0.028892455858747994,0.0,0.0,-12.70336651279429,-12.41444195420681,-0.19612669378976466,0.39663348720571034,False
2023-01-01 05:00:00,743485.0,6.2,0.0,2.1,250.0,65.0,6.1,0.0,1028.3,1030.9,0.0,0.0,0.0,0.0,5,5,13.0,1667.0,3.4,6.8,7.0,7.8,7.4,6,1,1,5,6,795678.5031712473,12.8,1.6,0.0,0.0,12.8,0.39037678885394267,0.2319201995012469,0.04626865671641791,0.0,0.5791855203619909,0.025682182985553775,0.0,0.0,-12.409623211146059,-12.152801381290521,-0.18880873150804822,0.39037678885394267,False
2023-01-01 06:00:00,750985.0,7.4,0.0,3.8,290.0,62.0,6.3,0.5,1028.4,1031.0,0.0,0.0,0.0,0.0,7,7,12.0,1175.0,3.9,6.7,6.9,7.7,7.3,6,1,1,6,7,783423.8223801065,11.6,1.1,0.0,0.0,11.6,0.40088400731302404,0.26184538653366585,0.05373134328358209,0.0,0.5248868778280542,0.01765650080256822,0.0,0.0,-11.199115992686975,-11.022550984661294,-0.12400287051503017,0.40088400731302404,False
2023-01-01 07:00:00,764083.0,8.0,0.0,3.5,290.0,63.0,6.7,1.3,1028.9,1031.5,0.0,0.0,0.0,0.0,6,6,11.0,1066.0,4.1,6.7,6.9,7.7,7.3,6,1,1,7,8,764241.3503787878,11.0,0.9000000000000004,0.0,0.0,11.0,0.41923381362996376,0.2768079800498753,0.05671641791044776,0.0,0.4977375565610859,0.014446227929374004,0.0,0.0,-10.580766186370036,-10.436303907076296,-0.07850374293112217,0.41923381362996376,False
2023-01-01 08:00:00,774067.0,8.5,0.0,3.7,320.0,59.0,6.5,0.9,1029.0,1031.6,0.0,0.0,0.0,0.0,6,6,10.0,1095.0,4.4,6.8,6.9,7.6,7.3,6,1,1,8,8,764241.3503787878,10.5,0.5999999999999996,0.0,0.0,10.5,0.4332210228426929,0.28927680798004984,0.061194029850746276,0.0,0.4751131221719457,0.009630818619582659,0.0,0.0,-10.066778977157307,-9.97047079096148,-0.04189209932925275,0.4332210228426929,False
2023-01-01 09:00:00,749461.0,9.0,0.0,3.1,290.0,64.0,7.3,2.5,1029.1,1031.7,0.0,0.04,0.0,0.0,9,9,12.0,948.0,5.8,6.8,6.9,7.5,7.2,6,1,1,9,9,753762.8256704981,10.0,0.7999999999999998,0.7999999999999998,0.0,10.24,0.3987489405221387,0.3017456359102244,0.08208955223880597,0.010443864229765013,0.4524886877828054,0.012841091492776884,0.012841091492776884,0.0,-9.60125105947786,-9.47284014455009,-0.06418361149043167,0.4115900320149156,False
2023-01-01 10:00:00,686345.0,9.8,0.0,4.0,320.0,57.0,6.9,1.6,1029.5,1032.1,0.0,0.23,0.0,0.0,9,9,11.0,1095.0,7.4,7.0,7.0,7.5,7.2,6,1,1,10,9,753762.8256704981,9.2,2.4000000000000004,2.4000000000000004,0.0,9.92,0.3103257938203546,0.32169576059850374,0.10597014925373135,0.06005221932114883,0.41628959276018096,0.03852327447833066,0.03852327447833066,0.0,-8.889674206179645,-8.504441461396338,-0.1660160182609752,0.3488490682986852,False
2023-01-01 11:00:00,656076.0,9.9,0.0,4.4,20.0,66.0,8.0,3.8,1029.6,1032.2,0.1,0.46,0.0,0.0,9,9,10.0,841.0,9.0,7.3,7.1,7.5,7.2,6,1,1,11,9,753762.8256704981,9.1,4.0,4.0,0.0,10.299999999999999,0.2679200610819633,0.32418952618453867,0.1298507462686567,0.12010443864229765,0.4117647058823529,0.06420545746388444,0.06420545746388444,0.0,-8.832079938918037,-8.190025364279192,-0.26394908344268725,0.33212551854584776,False
2023-01-01 12:00:00,650551.0,10.4,0.0,3.7,340.0,63.0,7.9,3.6,1028.9,1031.5,0.2,0.75,0.0,0.0,9,9,12.0,786.0,11.0,7.7,7.3,7.5,7.2,6,1,1,12,10,728512.9823633156,8.6,6.0,6.0,0.04,10.399999999999999,0.2601797434837734,0.33665835411471323,0.15970149253731342,0.195822454308094,0.3891402714932126,0.09630818619582665,0.09630818619582665,0.010443864229765013,-8.339820256516226,-7.37673839455796,-0.3247829823175332,0.3564879296796,False
2023-01-01 13:00:00,612025.0,10.6,0.0,4.0,320.0,59.0,7.5,2.9,1028.2,1030.8,0.3,1.01,0.0,0.0,9,9,11.0,828.0,12.2,8.2,7.6,7.6,7.2,6,1,1,13,10,728512.9823633156,8.4,7.199999999999999,7.199999999999999,0.23,10.56,0.20620626370316408,0.341645885286783,0.17761194029850744,0.26370757180156656,0.38009049773755654,0.11556982343499198,0.11556982343499198,0.06005221932114883,-8.193793736296836,-7.038095501946916,-0.437591805835959,0.3217760871381561,False
2023-01-01 14:00:00,591142.0,10.7,0.0,4.1,340.0,57.0,7.3,2.5,1027.5,1030.1,0.4,0.98,0.0,0.0,7,7,13.0,800.0,13.3,8.7,8.0,7.7,7.1,6,1,1,14,10,728512.9823633156,8.3,8.3,8.3,0.46,10.790000000000001,0.17694996462569784,0.3441396508728179,0.19402985074626866,0.2558746736292428,0.3755656108597285,0.1332263242375602,0.1332263242375602,0.12010443864229765,-8.123050035374304,-6.790786792998702,-0.4544903198632735,0.31017628886325804,False
2023-01-01 15:00:00,614664.0,10.2,0.0,4.3,320.0,53.0,6.6,1.0,1027.4,1030.0,0.4,0.85,0.0,0.0,7,5,14.0,777.0,12.0,9.2,8.3,7.8,7.1,6,1,1,15,10,728512.9823633156,8.8,7.0,7.0,0.75,10.9,0.2099034036382995,0.33167082294264333,0.1746268656716418,0.22193211488250653,0.3981900452488688,0.11235955056179776,0.11235955056179776,0.195822454308094,-8.5900965963617,-7.466501090743723,-0.4102187564930758,0.32226295420009726,False
2023-01-01 16:00:00,641672.0,9.7,0.0,5.1,320.0,54.0,6.5,0.8,1027.6,1030.2,0.3,0.55,0.0,0.0,5,2,15.0,737.0,10.7,9.4,8.5,8.0,7.1,6,1,1,16,9,753762.8256704981,9.3,5.699999999999999,5.699999999999999,1.01,11.01,0.2477405977906822,0.31920199501246876,0.1552238805970149,0.14360313315926893,0.42081447963800905,0.09149277688603531,0.09149277688603531,0.26370757180156656,-9.052259402209318,-8.137331633348964,-0.3166770150065958,0.3392333746767175,False
2023-01-01 17:00:00,719686.0,8.9,0.0,4.9,320.0,59.0,6.7,1.3,1028.0,1030.6,0.0,0.14,0.0,0.0,6,4,16.0,622.0,8.7,9.4,8.6,8.1,7.2,6,1,1,17,8,764241.3503787878,10.1,3.6999999999999993,3.6999999999999993,0.98,11.209999999999999,0.3570352832395856,0.29925187032418954,0.1253731343283582,0.03655352480417755,0.4570135746606334,0.059390048154093086,0.059390048154093086,0.2558746736292428,-9.742964716760413,-9.149064235219482,-0.13653181622522537,0.4164253313936787,False
2023-01-01 18:00:00,824284.0,8.5,0.0,4.3,320.0,59.0,6.5,0.9,1028.2,1030.8,0.0,0.01,0.0,0.0,7,4,12.0,601.0,7.5,9.2,8.6,8.3,7.2,6,1,1,18,8,764241.3503787878,10.5,2.5,2.5,0.85,11.25,0.5035731547573182,0.28927680798004984,0.10746268656716418,0.0026109660574412533,0.4751131221719457,0.04012841091492777,0.04012841091492777,0.22193211488250653,-9.996426845242683,-9.595142736093404,0.0258490665279313,0.543701565672246,False
2023-01-01 19:00:00,867002.0,8.1,0.0,3.5,320.0,62.0,6.7,1.2,1028.4,1031.0,0.0,0.0,0.0,0.0,6,6,3.0,585.0,6.9,9.0,8.5,8.4,7.2,6,1,1,19,8,764241.3503787878,10.9,1.9000000000000004,1.9000000000000004,0.55,11.47,0.5634194691753235,0.2793017456359102,0.09850746268656717,0.0,0.4932126696832579,0.03049759229534511,0.03049759229534511,0.14360313315926893,-10.336580530824676,-10.031604607871225,0.0702067994920656,0.5939170614706686,False
2023-01-01 20:00:00,867485.0,7.9,0.0,3.4,340.0,61.0,6.5,0.8,1028.6,1031.2,0.0,0.0,0.0,0.0,8,4,3.0,817.0,6.6,8.8,8.4,8.4,7.3,6,1,1,20,7,783423.8223801065,11.1,1.5999999999999996,1.5999999999999996,0.14,11.58,0.5640961340440883,0.2743142144638404,0.09402985074626866,0.0,0.502262443438914,0.02568218298555377,0.02568218298555377,0.03655352480417755,-10.53590386595591,-10.279082036100373,0.061833690605174296,0.5897783170296421,False
2023-01-01 21:00:00,846129.0,7.4,0.0,4.7,340.0,69.0,7.1,2.0,1029.1,1031.7,0.0,0.0,0.0,0.0,8,4,11.0,996.0,6.4,8.6,8.3,8.4,7.4,6,1,1,21,7,783423.8223801065,11.6,1.4000000000000004,1.4000000000000004,0.01,12.02,0.5341771797224694,0.26184538653366585,0.091044776119403,0.0,0.5248868778280542,0.022471910112359557,0.022471910112359557,0.0026109660574412533,-11.06582282027753,-10.841103719153935,0.009290301894415154,0.556649089834829,False
2023-01-01 22:00:00,821286.0,6.8,0.0,3.9,360.0,62.0,6.1,0.0,1029.9,1032.5,0.0,0.0,0.0,0.0,6,6,2.0,1970.0,6.1,8.5,8.2,8.4,7.4,6,1,1,22,6,795678.5031712473,12.2,1.0999999999999996,1.0999999999999996,0.0,12.53,0.49937306929860814,0.24688279301745636,0.08656716417910447,0.0,0.5520361990950226,0.017656500802568212,0.017656500802568212,0.0,-11.700626930701391,-11.52406192267571,-0.05266312979641441,0.5170295701011763,False
2023-01-01 23:00:00,804508.0,6.5,0.0,4.5,20.0,52.0,5.0,-2.6,1029.7,1032.3,0.0,0.0,0.0,0.0,9,8,14.0,5000.0,5.6,8.3,8.1,8.4,7.5,6,1,1,23,6,795678.5031712473,12.5,0.5999999999999996,0.5999999999999996,0.0,12.68,0.47586772112441245,0.23940149625935161,0.0791044776119403,0.0,0.5656108597285068,0.009630818619582659,0.009630818619582659,0.0,-12.024132278875587,-11.92782409267976,-0.08974313860409433,0.4854985397439951,False
2023-01-02 00:00:00,875701.0,6.3,0.0,4.8,20.0,56.0,5.4,-1.8,1030.1,1032.7,0.0,0.0,0.0,0.0,7,7,35.0,4899.0,5.1,8.1,8.0,8.4,7.5,0,0,1,0,6,795678.5031712473,12.7,0.09999999999999964,0.09999999999999964,0.0,12.729999999999999,0.5756064416253966,0.2344139650872818,0.07164179104477612,0.0,0.5746606334841629,0.001605136436597105,0.001605136436597105,0.0,-12.124393558374603,-12.108342194008632,0.0009458081412337949,0.5772115780619937,False
2023-01-02 01:00:00,751817.0,6.0,0.0,4.8,20.0,56.0,5.2,-2.1,1030.1,1032.7,0.0,0.0,0.0,0.0,7,7,13.0,5000.0,4.8,8.0,7.9,8.3,7.5,0,0,1,1,6,795678.5031712473,13.0,0.20000000000000018,0.0,0.0,13.0,0.40204960808075146,0.22693266832917705,0.06716417910447761,0.0,0.588235294117647,0.0032102728731942245,0.0,0.0,-12.597950391919248,-12.565847663187306,-0.1861856860368955,0.40204960808075146,False
2023-01-02 02:00:00,722317.0,5.7,0.0,5.1,20.0,58.0,5.3,-1.9,1030.2,1032.8,0.0,0.0,0.0,0.0,7,7,13.0,5000.0,4.6,7.8,7.8,8.3,7.5,0,0,1,2,5,813042.841954023,13.3,0.40000000000000036,0.0,0.0,13.3,0.36072121547503133,0.21945137157107233,0.06417910447761194,0.0,0.6018099547511312,0.006420545746388449,0.0,0.0,-12.93927878452497,-12.875073327061084,-0.24108873927609986,0.36072121547503133,False
2023-01-02 03:00:00,695643.0,5.6,0.0,4.3,20.0,59.0,5.4,-1.7,1030.0,1032.6,0.0,0.0,0.0,0.0,9,2,10.0,5000.0,4.9,7.7,7.7,8.2,7.5,0,0,1,3,5,813042.841954023,13.4,0.09999999999999964,0.0,0.0,13.4,0.3233519427846931,0.21695760598503738,0.06865671641791045,0.0,0.6063348416289592,0.001605136436597105,0.0,0.0,-13.076648057215307,-13.060596692849336,-0.28298289884426614,0.3233519427846931,False
2023-01-02 04:00:00,686117.0,5.4,0.0,3.1,360.0,61.0,5.5,-1.5,1030.5,1033.1,0.0,0.0,0.0,0.0,9,6,10.0,5000.0,4.8,7.6,7.6,8.2,7.5,0,0,1,4,5,813042.841954023,13.6,0.20000000000000018,0.0,0.0,13.6,0.31000637437919853,0.21197007481296756,0.06716417910447761,0.0,0.6153846153846153,0.0032102728731942245,0.0,0.0,-13.2899936256208,-13.257890896888858,-0.3053782410054168,0.31000637437919853,False
2023-01-02 05:00:00,690531.0,5.3,0.0,3.8,20.0,56.0,5.0,-2.7,1030.0,1032.6,0.0,0.0,0.0,0.0,8,3,12.0,5000.0,4.5,7.5,7.5,8.1,7.5,0,0,1,5,5,813042.841954023,13.7,0.5,0.0,0.0,13.7,0.3161902226829832,0.20947630922693267,0.06268656716417911,0.0,0.6199095022624433,0.008025682182985555,0.0,0.0,-13.383809777317015,-13.30355295548716,-0.30371927957946016,0.3161902226829832,True
2023-01-02 06:00:00,714578.0,5.1,0.0,5.2,20.0,60.0,5.3,-2.0,1029.9,1032.5,0.0,0.0,0.0,0.0,7,5,10.0,5000.0,4.3,7.4,7.5,8.1,7.4,0,0,1,6,5,813042.841954023,13.9,0.7000000000000002,0.0,0.0,13.9,0.3498791669877206,0.20448877805486282,0.05970149253731343,0.0,0.6289592760180995,0.011235955056179778,0.0,0.0,-13.55012083301228,-13.43776128245048,-0.27908010903037894,0.3498791669877206,True
2023-01-02 07:00:00,745840.0,4.9,0.0,4.2,20.0,57.0,4.9,-2.9,1030.4,1033.0,0.0,0.0,0.0,0.0,9,4,11.0,5000.0,4.4,7.3,7.4,8.0,7.4,0,0,1,7,4,836855.786407767,14.1,0.5999999999999996,0.0,0.0,14.1,0.3936760554500942,0.199501246882793,0.061194029850746276,0.0,0.6380090497737556,0.009630818619582659,0.0,0.0,-13.706323944549906,-13.610015758354079,-0.2443329943236614,0.3936760554500942,True
2023-01-02 08:00:00,806745.0,4.7,0.0,5.1,20.0,63.0,5.4,-1.7,1030.9,1033.5,0.0,0.0,0.0,0.0,9,4,10.0,4846.0,4.6,7.2,7.3,7.9,7.4,0,0,1,8,4,836855.786407767,14.3,0.40000000000000036,0.0,0.0,14.3,0.47900167415014117,0.1945137157107232,0.06417910447761194,0.0,0.6470588235294118,0.006420545746388449,0.0,0.0,-13.82099832584986,-13.756792868385975,-0.16805714937927063,0.47900167415014117,True
